時間,開盤價,最高價,最低價,收盤價,外資及陸資交易買口,外資及陸資交易賣口,外資及陸資交易淨口,投信交易買口,投信交易賣口,投信交易淨口,自營商交易買口,自營商交易賣口,自營商交易淨口,外資及陸資未平倉買口,外資及陸資未平倉賣口,外資及陸資未平倉淨口,投信未平倉買口,投信未平倉賣口,投信未平倉淨口,自營商未平倉買口,自營商未平倉賣口,自營商未平倉淨口,前十大法人買口,前十大法人賣口,前十大特定法人買口,前十大特定法人賣口,前五大法人買口,前五大法人賣口,前五大特定法人買口,前五大特定法人賣口
2010-11-11,8465,8480,8446,8451,10695口,11845口,-1150口,43口,189口,-146口,9631口,11394口,-1763口,29902口,41578口,-11676口,1535口,1018口,517口,13341口,5074口,8267口,32054口,31469口,23878口,29251口,21844口,21652口,15460口,21652口
2010-11-12,8435,8438,8301,8311,22008口,23669口,-1661口,54口,376口,-322口,30244口,33819口,-3575口,28947口,42910口,-13963口,1305口,1110口,195口,9492口,5302口,4190口,31262口,31494口,23715口,29257口,22101口,21402口,18434口,21402口
2010-11-15,8296,8310,8229,8270,28550口,27633口,917口,358口,547口,-189口,20895口,22975口,-2080口,30409口,43602口,-13193口,1105口,1099口,6口,8740口,6703口,2037口,32069口,32245口,23612口,28017口,22993口,21437口,19619口,21437口
2010-11-16,8230,8342,8220,8289,38994口,36425口,2569口,671口,511口,160口,25942口,25670口,272口,35510口,45966口,-10456口,1208口,1042口,166口,7400口,5118口,2282口,33675口,34198口,29349口,34198口,25098口,23170口,22324口,23170口
2010-11-17,8246,8299,8227,8246,22482口,25267口,-2785口,1287口,1121口,166口,26053口,26424口,-371口,23995口,33436口,-9441口,1290口,958口,332口,3936口,4820口,-884口,24276口,26674口,21741口,24901口,20627口,18126口,19547口,18126口
2010-11-18,8255,8294,8239,8291,9256口,13392口,-4136口,12口,25口,-13口,13015口,11133口,1882口,23216口,36840口,-13624口,1279口,960口,319口,5343口,4510口,833口,24795口,29111口,21200口,27262口,21049口,20019口,18996口,20019口
2010-11-19,8337,8361,8257,8290,13750口,13221口,529口,126口,63口,63口,21106口,20615口,491口,23654口,36761口,-13107口,1354口,972口,382口,5357口,4029口,1328口,24756口,28220口,20899口,26619口,21128口,19148口,19420口,19148口
2010-11-22,8323,8396,8312,8369,12817口,9964口,2853口,33口,35口,-2口,17433口,17033口,400口,24690口,34941口,-10251口,1337口,957口,380口,5754口,3921口,1833口,25476口,27466口,20862口,25801口,21258口,18918口,20037口,18918口
2010-11-23,8374,8375,8306,8329,7951口,8370口,-419口,1口,73口,-72口,11510口,12308口,-798口,24429口,35100口,-10671口,1338口,1030口,308口,4967口,4052口,915口,25185口,26892口,21918口,25513口,21444口,18676口,20402口,18676口
2010-11-24,8281,8353,8271,8303,11668口,12452口,-784口,149口,73口,76口,15966口,16329口,-363口,23639口,35141口,-11502口,1402口,1018口,384口,5301口,4749口,552口,24465口,27301口,20962口,25908口,20675口,18959口,19581口,18959口
2010-11-25,8309,8362,8308,8339,11106口,10593口,513口,27口,31口,-4口,11917口,11403口,514口,24583口,35588口,-11005口,1393口,1013口,380口,5771口,4645口,1126口,25879口,27154口,21968口,25729口,21878口,18961口,20473口,18961口
2010-11-26,8354,8358,8294,8298,12009口,11046口,963口,20口,41口,-21口,14307口,15297口,-990口,26443口,36525口,-10082口,1390口,1031口,359口,5584口,5111口,473口,27308口,27761口,23523口,27761口,22773口,18736口,22773口,18736口
2010-11-29,8350,8395,8312,8379,21052口,16275口,4777口,151口,40口,111口,23952口,24459口,-507口,29381口,34373口,-4992口,1409口,939口,470口,5937口,5644口,293口,29584口,26764口,26514口,25297口,24784口,18382口,24784口,18382口
2010-11-30,8400,8450,8371,8401,15694口,13122口,2572口,290口,119口,171口,24209口,23894口,315口,30789口,33179口,-2390口,1507口,866口,641口,6958口,5698口,1260口,31771口,25001口,27778口,23486口,24986口,16765口,24986口,16765口
2010-12-01,8423,8550,8411,8547,14410口,12336口,2074口,80口,3口,77口,26235口,22646口,3589口,33142口,33290口,-148口,1507口,789口,718口,10535口,5203口,5332口,35280口,24326口,29131口,22679口,24535口,16058口,24535口,16058口
2010-12-02,8600,8642,8591,8618,12416口,16543口,-4127口,32口,77口,-45口,17005口,15642口,1363口,34489口,38758口,-4269口,1506口,833口,673口,11774口,5290口,6484口,37842口,28475口,30597口,26815口,25302口,19233口,21450口,19233口
2010-12-03,8639,8645,8609,8628,10191口,8042口,2149口,72口,15口,57口,12647口,12802口,-155口,35046口,37192口,-2146口,1511口,781口,730口,11484口,5153口,6331口,38423口,27374口,31006口,25770口,26533口,18423口,22005口,18423口
2010-12-06,8640,8714,8632,8695,9104口,10276口,-1172口,139口,96口,43口,18661口,16577口,2084口,34625口,37943口,-3318口,1464口,691口,773口,13122口,4879口,8243口,40328口,26999口,31711口,26999口,26885口,17815口,21356口,17815口
2010-12-07,8698,8716,8652,8713,10304口,11647口,-1343口,230口,155口,75口,11517口,10758口,759口,35387口,40082口,-4695口,1464口,616口,848口,13701口,4719口,8982口,41005口,28876口,32318口,28876口,27946口,19558口,21815口,19558口
2010-12-08,8718,8721,8675,8700,8995口,8223口,772口,144口,75口,69口,9856口,10101口,-245口,35586口,39571口,-3985口,1464口,547口,917口,12793口,4055口,8738口,40812口,29791口,32284口,28306口,28497口,20432口,21605口,20432口
2010-12-09,8722,8797,8722,8788,12082口,16038口,-3956口,131口,83口,48口,22198口,19802口,2396口,37273口,45276口,-8003口,1448口,483口,965口,15682口,4576口,11106口,43815口,35346口,32592口,33569口,31087口,23681口,21773口,23681口
2010-12-10,8761,8761,8698,8743,13672口,16932口,-3260口,182口,100口,82口,17221口,17998口,-777口,33711口,45297口,-11586口,1431口,384口,1047口,14722口,4420口,10302口,40137口,35655口,29545口,33810口,30981口,24625口,21871口,24625口
2010-12-13,8728,8764,8725,8737,23219口,22045口,1174口,177口,155口,22口,9907口,10382口,-475口,39744口,50169口,-10425口,1430口,361口,1069口,14244口,4391口,9853口,43557口,38409口,33236口,36545口,30770口,26759口,21886口,26759口
2010-12-14,8752,8792,8712,8737,36863口,41019口,-4156口,778口,875口,-97口,24062口,23286口,776口,43765口,58520口,-14755口,1335口,363口,972口,15595口,4974口,10621口,46285口,46230口,36848口,44329口,31169口,34142口,21732口,34142口
2010-12-15,8740,8747,8704,8727,25363口,22263口,3100口,602口,779口,-177口,20487口,19588口,899口,31491口,34803口,-3312口,1178口,340口,838口,6138口,4416口,1722口,32508口,31188口,28047口,27657口,23519口,21760口,23519口,21760口
2010-12-16,8764,8794,8754,8773,6713口,9518口,-2805口,55口,0口,55口,10103口,10186口,-83口,31022口,37142口,-6120口,1194口,301口,893口,6252口,4609口,1643口,31580口,33426口,27102口,29940口,22402口,23642口,22402口,23642口
2010-12-17,8777,8840,8775,8808,10838口,9410口,1428口,171口,29口,142口,13932口,12806口,1126口,31222口,35914口,-4692口,1341口,306口,1035口,7756口,4969口,2787口,32346口,32009口,27137口,28434口,22708口,22798口,22708口,22798口
2010-12-20,8817,8832,8728,8763,12352口,13190口,-838口,45口,495口,-450口,18999口,19548口,-549口,30848口,36582口,-5734口,1284口,699口,585口,7326口,5188口,2138口,32424口,32914口,26996口,29246口,22833口,23788口,22833口,23788口
2010-12-21,8783,8847,8763,8845,10341口,9054口,1287口,39口,13口,26口,14356口,11642口,2714口,31487口,35772口,-4285口,1283口,672口,611口,9514口,4686口,4828口,34092口,32048口,26930口,28536口,23202口,23365口,19855口,23365口
2010-12-22,8858,8872,8834,8852,6058口,7160口,-1102口,95口,13口,82口,11365口,9639口,1726口,30938口,36359口,-5421口,1343口,650口,693口,10815口,4265口,6550口,34310口,32962口,26203口,29316口,23637口,23774口,19910口,23774口
2010-12-23,8856,8908,8846,8898,8781口,8060口,721口,31口,21口,10口,12340口,11048口,1292口,31371口,35988口,-4617口,1343口,640口,703口,11818口,4377口,7441口,35402口,32381口,24657口,29007口,24461口,23721口,19844口,23721口
2010-12-24,8898,8898,8867,8879,3446口,5922口,-2476口,20口,192口,-172口,6100口,6436口,-336口,30008口,37119口,-7111口,1183口,652口,531口,11630口,4405口,7225口,34493口,33483口,23743口,29927口,23535口,24131口,18987口,24131口
2010-12-27,8866,8918,8832,8884,8503口,10042口,-1539口,93口,63口,30口,16726口,16186口,540口,28507口,37213口,-8706口,1172口,611口,561口,12298口,4533口,7765口,33908口,33577口,22652口,29901口,22747口,23512口,17819口,23512口
2010-12-28,8900,8906,8830,8877,9262口,10240口,-978口,32口,25口,7口,12835口,14087口,-1252口,27719口,37562口,-9843口,1162口,594口,568口,11782口,5369口,6413口,33408口,34110口,22187口,30401口,22400口,23876口,17515口,23876口
2010-12-29,8860,8895,8842,8872,9386口,9704口,-318口,89口,45口,44口,13348口,12229口,1119口,27857口,38033口,-10176口,1201口,589口,612口,12562口,5026口,7536口,33429口,34688口,21972口,29521口,22304口,24363口,17257口,24363口
2010-12-30,8879,8918,8865,8905,9490口,10037口,-547口,40口,31口,9口,14989口,14690口,299口,27728口,38479口,-10751口,1199口,578口,621口,12677口,4841口,7836口,33151口,34529口,21584口,29344口,22013口,25160口,16885口,25160口
2010-12-31,8892,8997,8892,8987,9285口,9951口,-666口,128口,0口,128口,17377口,13752口,3625口,28602口,40028口,-11426口,1215口,466口,749口,16214口,4653口,11561口,35474口,34660口,21214口,30905口,23617口,25246口,16572口,25246口
2011-01-03,9000,9030,8995,9020,8353口,9422口,-1069口,28口,67口,-39口,9431口,9551口,-120口,28030口,40641口,-12611口,1176口,466口,710口,16084口,4713口,11371口,34830口,35553口,21020口,31688口,23605口,26430口,12880口,26430口
2011-01-04,9030,9030,8974,8976,7577口,9081口,-1504口,207口,30口,177口,11450口,11864口,-414口,26153口,40360口,-14207口,1379口,492口,887口,15149口,4192口,10957口,34403口,35869口,20599口,32011口,23221口,26938口,12709口,26938口
2011-01-05,8967,9005,8791,8839,22996口,23833口,-837口,5口,314口,-309口,37609口,39083口,-1474口,24246口,39549口,-15303口,1178口,600口,578口,13926口,5003口,8923口,31173口,35652口,17584口,29281口,20685口,25983口,12570口,25983口
2011-01-06,8859,8876,8815,8868,11656口,11425口,231口,54口,262口,-208口,14397口,14575口,-178口,23873口,39008口,-15135口,1221口,851口,370口,14153口,5439口,8714口,29739口,35803口,17171口,27786口,19248口,25591口,15237口,25591口
2011-01-07,8866,8883,8727,8753,18460口,15120口,3340口,145口,154口,-9口,27976口,31469口,-3493口,24136口,36019口,-11883口,1149口,788口,361口,10692口,5365口,5327口,28045口,34311口,17558口,26200口,19955口,23805口,15892口,23805口
2011-01-10,8753,8799,8735,8787,12895口,10187口,2708口,284口,58口,226口,10649口,12221口,-1572口,25073口,34259口,-9186口,1149口,562口,587口,10095口,6412口,3683口,27432口,34291口,18547口,26204口,19298口,22909口,15713口,22909口
2011-01-11,8779,8950,8760,8940,20071口,18543口,1528口,157口,300口,-143口,34868口,29556口,5312口,28067口,35609口,-7542口,1233口,789口,444口,13390口,4021口,9369口,31152口,35025口,20424口,26905口,19048口,23429口,15044口,23429口
2011-01-12,8960,9003,8945,8965,9569口,13957口,-4388口,219口,15口,204口,19017口,16665口,2352口,26164口,38094口,-11930口,1369口,721口,648口,15881口,4155口,11726口,33248口,37053口,21416口,30437口,21800口,24914口,12025口,24914口
2011-01-13,8998,9017,8916,8969,15732口,16086口,-354口,133口,259口,-126口,23987口,23634口,353口,26158口,38498口,-12340口,1369口,847口,522口,15711口,3772口,11939口,33194口,37383口,21149口,30734口,22217口,23873口,12237口,23873口
2011-01-14,8965,8981,8931,8969,12188口,12421口,-233口,25口,105口,-80口,12303口,12817口,-514口,27033口,39688口,-12655口,1367口,925口,442口,15796口,4372口,11424口,33524口,38150口,21319口,31449口,22429口,24493口,12316口,24493口
2011-01-17,8993,9002,8914,8920,24426口,26110口,-1684口,193口,371口,-178口,22279口,22790口,-511口,27922口,42661口,-14739口,1361口,1095口,266口,16125口,5284口,10841口,35533口,40518口,21726口,31940口,24141口,25116口,12497口,25116口
2011-01-18,8920,9012,8871,8973,29775口,30177口,-402口,960口,739口,221口,31040口,26898口,4142口,31900口,46903口,-15003口,1365口,873口,492口,19555口,4539口,15016口,39463口,41515口,24361口,32985口,25438口,25531口,12498口,25531口
2011-01-19,8988,9085,8984,9083,25898口,23286口,2612口,966口,757口,209口,29245口,29809口,-564口,25711口,32233口,-6522口,1392口,559口,833口,8785口,3070口,5715口,26449口,32386口,19644口,24804口,17507口,18528口,17507口,18528口
2011-01-20,9018,9032,8996,9007,7134口,10195口,-3061口,72口,42口,30口,11311口,11247口,64口,24926口,34483口,-9557口,1395口,532口,863口,8970口,3172口,5798口,26570口,33112口,19381口,28051口,17279口,19558口,17279口,19558口
2011-01-21,8970,8975,8858,8906,18666口,20733口,-2067口,186口,294口,-108口,29508口,30109口,-601口,24459口,36349口,-11890口,1495口,740口,755口,8034口,3573口,4461口,24734口,34882口,18060口,29592口,16240口,20685口,14091口,20685口
2011-01-24,8923,8956,8910,8944,11282口,10629口,653口,23口,67口,-44口,11120口,10642口,478口,24283口,35519口,-11236口,1492口,781口,711口,8315口,3374口,4941口,24487口,35105口,17905口,29605口,15961口,20438口,15961口,20438口
2011-01-25,8994,9029,8965,8967,10223口,11322口,-1099口,38口,15口,23口,16002口,14877口,1125口,23691口,36035口,-12344口,1505口,771口,734口,9579口,3500口,6079口,24355口,35604口,16957口,29954口,15031口,20751口,15031口,20751口
2011-01-26,8970,9073,8970,9051,10494口,7740口,2754口,249口,38口,211口,22662口,21418口,1244口,24950口,34406口,-9456口,1675口,731口,944口,10665口,3342口,7323口,26520口,34377口,18151口,28947口,17064口,19992口,13948口,19992口
2011-01-27,9086,9126,9068,9103,9737口,10722口,-985口,56口,60口,-4口,19326口,17210口,2116口,25390口,35830口,-10440口,1635口,695口,940口,12439口,3003口,9436口,28077口,34941口,18163口,29511口,18260口,20623口,14257口,20623口
2011-01-28,9112,9140,9094,9136,6993口,8754口,-1761口,124口,90口,34口,12380口,12022口,358口,24764口,36965口,-12201口,1545口,571口,974口,12858口,3064口,9794口,28209口,35003口,17940口,29783口,18850口,20731口,14439口,20731口
2011-02-08,9186,9196,9062,9099,9961口,14525口,-4564口,33口,55口,-22口,24488口,23385口,1103口,23704口,40540口,-16836口,1537口,585口,952口,13963口,3066口,10897口,26796口,37482口,15432口,32262口,17520口,23281口,9603口,23281口
2011-02-09,9071,9109,8975,9012,16629口,20831口,-4202口,77口,138口,-61口,30217口,29692口,525口,21961口,43234口,-21273口,1547口,656口,891口,14435口,2994口,11441口,26605口,38860口,14431口,33640口,17371口,23788口,9064口,23788口
2011-02-10,8971,8983,8817,8823,16322口,21134口,-4812口,264口,412口,-148口,36234口,37860口,-1626口,20991口,47431口,-26440口,1260口,517口,743口,12895口,4461口,8434口,27517口,40366口,14625口,35640口,17620口,25788口,10005口,25788口
2011-02-11,8818,8827,8523,8564,34374口,28143口,6231口,310口,298口,12口,55432口,56486口,-1054口,23229口,43216口,-19987口,1139口,380口,759口,11043口,3775口,7268口,25086口,37816口,16953口,32127口,15734口,24938口,9850口,24938口
2011-02-14,8625,8693,8601,8645,28325口,24916口,3409口,286口,414口,-128口,23282口,25844口,-2562口,26701口,42997口,-16296口,1118口,487口,631口,9291口,4412口,4879口,25829口,35842口,18583口,33824口,16181口,23666口,13109口,23666口
2011-02-15,8625,8733,8531,8697,39609口,35356口,4253口,609口,577口,32口,36296口,38674口,-2378口,35493口,47635口,-12142口,1118口,455口,663口,10206口,7247口,2959口,31554口,40121口,26596口,37084口,19222口,26432口,19222口,26432口
2011-02-16,8718,8757,8695,8719,19131口,20129口,-998口,488口,417口,71口,25641口,24845口,796口,18583口,31016口,-12433口,1111口,384口,727口,6074口,3873口,2201口,20139口,30877口,14245口,27224口,13272口,19371口,11127口,19371口
2011-02-17,8651,8675,8589,8625,19348口,15062口,4286口,46口,139口,-93口,24234口,24503口,-269口,20418口,28503口,-8085口,1137口,503口,634口,6465口,4432口,2033口,21841口,25511口,16372口,19428口,15005口,15375口,12423口,15375口
2011-02-18,8678,8845,8675,8809,14036口,14873口,-837口,289口,101口,188口,31830口,30652口,1178口,23417口,32099口,-8682口,1297口,475口,822口,7041口,3810口,3231口,25428口,25741口,19987口,21650口,17678口,15592口,15462口,15592口
2011-02-21,8814,8815,8732,8809,10988口,10335口,653口,65口,143口,-78口,16181口,17063口,-882口,23052口,31075口,-8023口,1297口,553口,744口,6103口,3755口,2348口,24963口,25169口,19891口,19470口,17657口,15661口,15478口,13321口
2011-02-22,8713,8722,8562,8620,22517口,19355口,3162口,20口,268口,-248口,35439口,38087口,-2648口,21945口,27244口,-5299口,1233口,737口,496口,5735口,6034口,-299口,22180口,25898口,17110口,16177口,15251口,16405口,13159口,10578口
2011-02-23,8588,8637,8480,8521,15172口,14918口,254口,23口,1032口,-1009口,33124口,31601口,1523口,21734口,26894口,-5160口,1076口,1589口,-513口,7500口,6259口,1241口,22618口,29114口,17036口,15143口,15395口,17809口,13299口,8295口
2011-02-24,8502,8610,8502,8531,15742口,14397口,1345口,90口,175口,-85口,27379口,27698口,-319口,22304口,26139口,-3835口,1071口,1669口,-598口,8547口,7604口,943口,23326口,30394口,16198口,15778口,15618口,18750口,11310口,8337口
2011-02-25,8560,8630,8433,8615,21427口,22723口,-1296口,659口,471口,188口,45729口,41232口,4497口,23029口,28175口,-5146口,1001口,1411口,-410口,11932口,6492口,5440口,27577口,30819口,17239口,16032口,17545口,19100口,13919口,11382口
2011-03-01,8695,8710,8634,8690,12288口,10760口,1528口,181口,48口,133口,16123口,17169口,-1046口,24278口,27831口,-3553口,1087口,1364口,-277口,11437口,7041口,4396口,28057口,29264口,18105口,13065口,18123口,19169口,14496口,11292口
2011-03-02,8610,8674,8582,8601,18167口,15084口,3083口,434口,225口,209口,24588口,27149口,-2561口,25188口,25720口,-532口,1452口,1520口,-68口,8728口,7440口,1288口,26380口,31917口,18605口,13246口,17645口,21203口,15172口,13246口
2011-03-03,8660,8755,8630,8739,12106口,11885口,221口,334口,72口,262口,29375口,26954口,2421口,26006口,25787口,219口,1580口,1386口,194口,10598口,6889口,3709口,29152口,29065口,19514口,13986口,19223口,19358口,15485口,12338口
2011-03-04,8796,8800,8753,8761,11533口,10391口,1142口,49口,30口,19口,15942口,17267口,-1325口,28125口,26676口,1449口,1581口,1368口,213口,9895口,7520口,2375口,28716口,29419口,20074口,15095口,18864口,19427口,15970口,9573口
2011-03-07,8743,8762,8677,8721,11394口,12049口,-655口,54口,198口,-144口,23489口,23770口,-281口,27136口,26410口,726口,1584口,1515口,69口,9885口,7761口,2124口,28769口,30144口,20908口,15243口,18416口,19940口,12591口,9624口
2011-03-08,8704,8758,8701,8740,8398口,9516口,-1118口,73口,30口,43口,16552口,16686口,-134口,27879口,28297口,-418口,1604口,1492口,112口,9283口,7041口,2242口,28427口,31379口,21313口,16884口,18700口,20036口,15978口,12556口
2011-03-09,8793,8798,8698,8758,13933口,11304口,2629口,48口,195口,-147口,24045口,24335口,-290口,30876口,28667口,2209口,1429口,1464口,-35口,8878口,6896口,1982口,30821口,31879口,24157口,17403口,19899口,20623口,17454口,13203口
2011-03-10,8763,8763,8608,8623,17033口,21062口,-4029口,56口,221口,-165口,34876口,37035口,-2159口,26053口,28582口,-2529口,1303口,1503口,-200口,6616口,7585口,-969口,26468口,31709口,20098口,16750口,17319口,20594口,12196口,12793口
2011-03-11,8550,8574,8480,8559,20341口,18529口,1812口,94口,156口,-62口,31397口,32414口,-1017口,25237口,26037口,-800口,1312口,1574口,-262口,6738口,8805口,-2067口,25941口,33675口,19736口,15235口,17773口,22059口,13107口,10044口
2011-03-14,8531,8568,8366,8504,33644口,31177口,2467口,553口,1128口,-575口,46122口,46502口,-380口,30499口,28910口,1589口,1044口,1881口,-837口,9115口,11256口,-2141口,30962口,34697口,22513口,16636口,20756口,24145口,18066口,14145口
2011-03-15,8531,8532,8026,8257,76637口,63827口,12810口,1492口,1132口,360口,86197口,98951口,-12754口,43683口,29979口,13704口,1044口,1521口,-477口,7762口,21554口,-13792口,38557口,44085口,31679口,21752口,27657口,31643口,23097口,16885口
2011-03-16,8410,8411,8264,8305,34712口,33808口,904口,1175口,924口,251口,38861口,41872口,-3011口,23056口,17361口,5695口,1066口,1256口,-190口,4233口,10704口,-6471口,24317口,28848口,19960口,14318口,18988口,20018口,16685口,11028口
2011-03-17,8151,8274,8129,8257,20078口,18479口,1599口,293口,877口,-584口,27611口,27698口,-87口,24763口,17476口,7287口,1029口,1803口,-774口,4772口,11331口,-6559口,25223口,30307口,20618口,14338口,19504口,21820口,17203口,8871口
2011-03-18,8292,8345,8270,8321,13895口,14592口,-697口,146口,36口,110口,19312口,18274口,1038口,25048口,18447口,6601口,1060口,1724口,-664口,6168口,11688口,-5520口,25724口,31567口,19908口,14334口,20135口,22661口,17778口,11066口
2011-03-21,8359,8445,8328,8391,12868口,10294口,2574口,44口,626口,-582口,24215口,23190口,1025口,25297口,16114口,9183口,1074口,2320口,-1246口,7192口,11170口,-3978口,27567口,30514口,20725口,12742口,20921口,21516口,16468口,7547口
2011-03-22,8431,8479,8414,8417,11868口,9758口,2110口,778口,173口,605口,16629口,16420口,209口,25446口,14152口,11294口,1081口,1722口,-641口,7522口,11310口,-3788口,27292口,29962口,21529口,11447口,21091口,21226口,16391口,6818口
2011-03-23,8400,8510,8393,8451,14158口,11452口,2706口,135口,0口,135口,25642口,27859口,-2217口,28425口,14431口,13994口,1141口,1647口,-506口,6888口,12893口,-6005口,29195口,30275口,23249口,11128口,21320口,21523口,16567口,6483口
2011-03-24,8502,8548,8480,8527,11227口,10031口,1196口,50口,35口,15口,18839口,18947口,-108口,29280口,14097口,15183口,1141口,1632口,-491口,7674口,13795口,-6121口,29987口,29607口,24094口,10174口,22114口,21375口,19702口,3957口
2011-03-25,8588,8626,8548,8577,13602口,9877口,3725口,192口,221口,-29口,18759口,18669口,90口,32748口,13816口,18932口,1131口,1651口,-520口,7856口,12916口,-5060口,32911口,29022口,27228口,11427口,23552口,20509口,23552口,6767口
2011-03-28,8585,8585,8495,8520,12373口,12941口,-568口,47口,97口,-50口,19052口,20922口,-1870口,33707口,15395口,18312口,1132口,1702口,-570口,5415口,12345口,-6930口,33169口,29299口,29517口,12458口,25064口,20729口,25064口,7746口
2011-03-29,8507,8575,8474,8573,10477口,10532口,-55口,98口,75口,23口,20948口,20550口,398口,34448口,16215口,18233口,1139口,1686口,-547口,5872口,12405口,-6533口,34245口,28717口,29380口,12342口,25701口,20098口,25701口,7536口
2011-03-30,8607,8650,8582,8592,10797口,9917口,880口,82口,0口,82口,21043口,20871口,172口,35128口,16015口,19113口,1139口,1604口,-465口,6179口,12443口,-6264口,35109口,28774口,30829口,12442口,26303口,20111口,26303口,7546口
2011-03-31,8604,8645,8557,8640,10974口,10021口,953口,34口,241口,-207口,24242口,23992口,250口,36879口,16813口,20066口,1139口,1811口,-672口,7270口,13284口,-6014口,35995口,28283口,29933口,12584口,26225口,19990口,26225口,7604口
2011-04-01,8640,8689,8630,8684,8645口,7863口,782口,197口,145口,52口,14359口,13894口,465口,38101口,17241口,20860口,1084口,1704口,-620口,8260口,13672口,-5412口,38375口,27754口,32849口,13976口,27027口,19519口,23713口,7643口
2011-04-06,8743,8863,8727,8839,16952口,17715口,-763口,412口,25口,387口,31025口,27033口,3992口,41795口,21138口,20657口,1252口,1485口,-233口,9390口,10838口,-1448口,40481口,26259口,34686口,15891口,28082口,16868口,24459口,10206口
2011-04-07,8864,8901,8823,8896,11631口,11843口,-212口,139口,89口,50口,16964口,17314口,-350口,42937口,22489口,20448口,1251口,1434口,-183口,9773口,11604口,-1831口,42442口,27030口,35864口,16692口,30465口,17920口,26061口,11128口
2011-04-08,8939,8939,8850,8868,11106口,14895口,-3789口,43口,12口,31口,24906口,25914口,-1008口,40260口,23607口,16653口,1267口,1419口,-152口,8220口,11159口,-2939口,40991口,27001口,34708口,17670口,29362口,17825口,25310口,12001口
2011-04-11,8868,8882,8820,8859,11088口,9757口,1331口,48口,37口,11口,18312口,17517口,795口,42056口,24099口,17957口,1257口,1398口,-141口,8736口,10781口,-2045口,43801口,25626口,36922口,17316口,30811口,16104口,26191口,11504口
2011-04-12,8820,8822,8703,8706,15852口,17327口,-1475口,32口,28口,4口,36645口,39056口,-2411口,42404口,26166口,16238口,1235口,1372口,-137口,6247口,11568口,-5321口,41979口,27647口,37204口,18625口,29737口,17846口,29737口,12924口
2011-04-13,8728,8810,8696,8807,13178口,13198口,-20口,58口,73口,-15口,21292口,20277口,1015口,45759口,29549口,16210口,1221口,1373口,-152口,7764口,12116口,-4352口,45900口,29731口,40013口,20230口,31948口,18883口,28409口,16098口
2011-04-14,8780,8852,8750,8796,12066口,16068口,-4002口,232口,4口,228口,29299口,28181口,1118口,44231口,32090口,12141口,1361口,1285口,76口,8624口,12034口,-3410口,44611口,31697口,38675口,22126口,30919口,20563口,27456口,17740口
2011-04-15,8786,8820,8680,8705,17560口,16320口,1240口,13口,264口,-251口,22994口,25061口,-2067口,44764口,31670口,13094口,1229口,1404口,-175口,6767口,12432口,-5665口,44995口,32221口,39652口,22315口,31364口,21180口,31364口,18465口
2011-04-18,8692,8760,8674,8708,24935口,21996口,2939口,441口,577口,-136口,21797口,23943口,-2146口,48552口,32529口,16023口,1229口,1540口,-311口,5734口,13454口,-7720口,47885口,35365口,42950口,23842口,34113口,23021口,34113口,19770口
2011-04-19,8657,8671,8585,8627,34910口,40319口,-5409口,1005口,957口,48口,33724口,32913口,811口,48912口,38493口,10419口,1212口,1475口,-263口,6011口,13113口,-7102口,46915口,36817口,42334口,28067口,34671口,23794口,34671口,20553口
2011-04-20,8701,8800,8695,8792,27500口,24169口,3331口,784口,733口,51口,32827口,29319口,3508口,34490口,23782口,10708口,1335口,1014口,321口,3508口,6248口,-2740口,35145口,25492口,31891口,19077口,26107口,16653口,26107口,11922口
2011-04-21,8882,9004,8879,8989,15574口,17130口,-1556口,197口,94口,103口,30396口,29090口,1306口,35110口,25436口,9674口,1365口,941口,424口,5605口,7082口,-1477口,35957口,25454口,31983口,18248口,26072口,16438口,26072口,14431口
2011-04-22,8989,9008,8973,8991,5345口,9025口,-3680口,286口,43口,243口,9879口,8197口,1682口,35149口,29209口,5940口,1327口,660口,667口,7122口,6921口,201口,37005口,27996口,31646口,22144口,26027口,17787口,22812口,17787口
2011-04-25,9003,9050,8942,8974,11072口,12138口,-1066口,28口,33口,-5口,24155口,24773口,-618口,34640口,29787口,4853口,1299口,637口,662口,6932口,7349口,-417口,36712口,30851口,31446口,24331口,25865口,18842口,22754口,18842口
2011-04-26,8914,8982,8870,8968,13509口,12973口,536口,105口,31口,74口,30975口,30841口,134口,36508口,31311口,5197口,1348口,612口,736口,6369口,6646口,-277口,38245口,31166口,33587口,24736口,27253口,19990口,27253口,19990口
2011-04-27,9051,9078,9032,9059,12216口,13428口,-1212口,1161口,723口,438口,19277口,18606口,671口,35121口,31059口,4062口,1826口,652口,1174口,7093口,6667口,426口,38980口,30158口,33679口,24148口,27033口,19386口,27033口,19386口
2011-04-28,9098,9099,9005,9014,13559口,13630口,-71口,157口,156口,1口,24531口,24808口,-277口,33023口,29040口,3983口,1921口,746口,1175口,6875口,6753口,122口,36787口,29536口,31633口,23231口,26448口,17859口,23438口,17859口
2011-04-29,9014,9049,8930,9024,17329口,18216口,-887口,119口,178口,-59口,30767口,30384口,383口,33811口,30764口,3047口,1910口,794口,1116口,7110口,6608口,502口,37908口,28635口,30622口,21905口,26825口,17626口,23261口,17626口
2011-05-03,9036,9069,8896,8933,14951口,17050口,-2099口,114口,103口,11口,30067口,30532口,-465口,31294口,30576口,718口,1908口,781口,1127口,7309口,7273口,36口,35508口,29432口,28065口,20373口,25429口,18116口,21604口,15396口
